transaction_id,datetime,transaction_type,transaction_type_action,transaction_quantity,quantity_on_hand,medication_id,medication,hospital_id,hospital_name,hospital_ward_id,hospital_ward_name
1,2022-10-18 00:05:55,V,Event,0.0,46,997741,nadolol (CORGARD) 40mg tablet,2,St Joseph's,43,RX
2,2022-10-18 00:07:13,R,Return,-2.0,9,1025890,bisacodyl (DULCOLAX) 5mg tablet,2,St Joseph's,62,3P1
3,2022-10-18 00:07:18,I,Issue,1.0,13,1022831,meropenem Vial2Bag 500mg,2,St Joseph's,58,2NE
4,2022-10-18 00:07:30,I,Issue,1.0,2,1036923,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,4,JOINT
5,2022-10-18 00:07:32,I,Issue,4.0,11,1038449,oxyCODONE IR 5mg tablet,2,St Joseph's,82,7TN
6,2022-10-18 00:08:18,I,Issue,1.0,5,1039897,zolpidem 5mg tablet,2,St Joseph's,81,6TN
7,2022-10-18 01:48:39,K,Destock,1.0,1,1022589,peg-electrolyte 4000ml bottle,2,St Joseph's,43,RX
8,2022-10-18 01:48:55,I,Issue,1.0,17,1003321,ibuprofen (ADVIL) 400mg tablet,2,St Joseph's,25,BP
9,2022-10-18 01:49:06,S,Restock,-15.0,15,1014937,morphine 2mg/1ml 1ml syringe,2,St Joseph's,81,6TN
10,2022-10-18 01:50:32,I,Issue,1.0,11,991647,ibuprofen (ADVIL) 600mg tablet,2,St Joseph's,25,BP
11,2022-10-18 01:51:05,I,Issue,1.0,4,1018699,haloperidol 5mg/1ml 1ml ampule,2,St Joseph's,5,6W
12,2022-10-18 01:52:02,I,Issue,1.0,10,1015118,morphine 2mg/1ml 1ml syringe,2,St Joseph's,84,7S
13,2022-10-18 01:56:51,S,Restock,-15.0,15,1019361,morphine 2mg/1ml 1ml syringe,2,St Joseph's,80,5TN
14,2022-10-18 01:58:33,I,Issue,1.0,16,989950,Lactated Ringer's 1000ml bag,2,St Joseph's,84,7S
15,2022-10-18 01:58:34,I,Issue,1.0,22,1016630,heparin 10units/1ml 5ml syringe,2,St Joseph's,24,NICU
16,2022-10-18 01:59:24,R,Return,-1.0,0,1030764,LORazepam (ATIV 2mg/1ml 1ml vial,2,St Joseph's,58,2NE
17,2022-10-18 02:00:44,I,Issue,1.0,8,1023189,heparin 10units/1ml 5ml syringe,2,St Joseph's,51,5W
18,2022-10-18 02:01:46,I,Issue,1.0,18,1029517,propofol ( 10mg/1ml 100ml bottle,2,St Joseph's,58,2NE
19,2022-10-18 02:02:25,I,Issue,1.0,17,989023,he 5000units/0.5ml 0.5ml syringe,2,St Joseph's,18,CICU12
20,2022-10-18 02:03:13,I,Issue,1.0,29,986765,pediatric multiple 0.5ml syringe,2,St Joseph's,24,NICU
21,2022-10-18 02:03:19,I,Issue,1.0,20,986016,heparin 10units/1ml 5ml syringe,2,St Joseph's,68,PICU
22,2022-10-18 02:03:29,I,Issue,1.0,73438,984285,.patient's other medications,2,St Joseph's,80,5TN
23,2022-10-18 02:04:15,I,Issue,1.0,7,1037680,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,58,2NE
24,2022-10-18 02:05:16,I,Issue,1.0,61126,984353,.patient's other medications,2,St Joseph's,84,7S
25,2022-10-18 02:07:15,I,Issue,1.0,11,1044629,ketorolac 30mg/1ml 1ml vial,2,St Joseph's,84,7S
26,2022-10-18 02:07:47,I,Issue,1.0,7,1028529,morphine 2mg/1ml 1ml syringe,2,St Joseph's,62,3P1
27,2022-10-18 02:07:47,I,Issue,1.0,6,1038139,tiZANidine 2mg tablet,2,St Joseph's,644795,4W SPINE
28,2022-10-18 02:07:51,S,Restock,-1.0,1,1034488,fentaNYL 1000mcg/100ml 100ml bag,2,St Joseph's,36,EMD
29,2022-10-18 02:07:53,I,Issue,1.0,10,1013881,diphenhydrAMINE (BE 25mg capsule,2,St Joseph's,84,7S
30,2022-10-18 02:08:20,I,Issue,1.0,3,1036356,OLANZapine ODT 5mg tablet,2,St Joseph's,644795,4W SPINE
31,2022-10-18 02:08:29,W,Waste,0.5,0,1036782,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,36,EMD
32,2022-10-18 02:09:10,W,Waste,1.0,0,1036782,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,36,EMD
33,2022-10-18 02:09:10,I,Issue,1.0,4,1039345,methylPREDNIS 125mg/2ml 2ml vial,2,St Joseph's,36,EMD
34,2022-10-18 02:09:11,W,Waste,0.75,0,1020842,LORazepam (ATIV 2mg/1ml 1ml vial,2,St Joseph's,36,EMD
35,2022-10-18 02:09:12,N,Null,0.0,0,1008724,Main Zone 1,2,St Joseph's,43,RX
36,2022-10-18 02:11:09,W,Waste,1.0,0,1036948,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,4,JOINT
37,2022-10-18 02:22:48,I,Issue,4.0,4,1038272,ALPRAZolam 0.5mg tablet,2,St Joseph's,644795,4W SPINE
38,2022-10-18 02:23:23,G,Pick,1.0,26,1030894,fentaNYL/bupi 3mcg/1ml 250ml bag,2,St Joseph's,43,RX
39,2022-10-18 02:23:23,V,Event,1.0,0,1030895,fentaNYL/bupi 3mcg/1ml 250ml bag,2,St Joseph's,43,RX
40,2022-10-18 02:23:37,I,Issue,1.0,14,1043547,fenofibrate microniz 48mg tablet,2,St Joseph's,81,6TN
41,2022-10-18 02:23:40,K,Destock,1.0,3,1020822,propofol ( 10mg/1ml 100ml bottle,2,St Joseph's,36,EMD
42,2022-10-18 02:24:46,I,Issue,1.0,2,1026874,haloperidol 5mg/1ml 1ml ampule,2,St Joseph's,64,4P1
43,2022-10-18 02:25:46,I,Issue,1.0,76525,984094,.patient's other medications,2,St Joseph's,81,6TN
44,2022-10-18 02:26:03,I,Issue,1.0,60,1028951,docusate sodium 100mg capsule,2,St Joseph's,81,6TN
45,2022-10-18 02:26:08,I,Issue,3.0,4,1034552,albuterol 2.5mg/3ml 3ml nebule,2,St Joseph's,36,EMD
46,2022-10-18 02:26:27,I,Issue,1.0,6,1038137,acetaminophe 10mg/1mL 100mL vial,2,St Joseph's,18,CICU12
47,2022-10-18 02:26:27,I,Issue,1.0,8,1040591,warfarin 7.5mg tablet,2,St Joseph's,81,6TN
48,2022-10-18 02:27:44,I,Issue,1.0,14,1030230,clonazePAM 0.5mg tablet,2,St Joseph's,64,4P1
