technical_id,machine_identifier,medication_id,medication_detail_id,medication,medication_unit,medication_unit_cost
1,SVJOINT1,969384,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
2,SVANES,969403,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
3,SVANES,969407,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
4,SVANES,969408,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
5,SV7E,969434,OXY5TI,oxyCODONE IR (ROXICOD 5mg tablet,TAB,0.0
6,SVOR19,969445,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
7,SVANES,969447,PRO10I50,propofol (D 10mg/1ml 50ml bottle,BOTT,0.0
8,SV6N1,969448,OXY5TI,oxyCODONE IR (ROXICOD 5mg tablet,TAB,0.0
9,SVOR17,969449,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
10,SVOR17,969451,MID1I,midazolam (VERS 2mg/2ml 2ml vial,,0.0
11,SVOR17,969453,ROC10I5,rocuronium (ZE 10mg/1ml 5ml vial,VIAL,0.0
12,SVOR17,969454,SUC20I,succinylcholi 20mg/1ml 10ml vial,VIAL,0.0
13,SVOR17,969455,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
14,SVSPINE4,969506,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
15,SVANES,969522,ROP5I,ropivacaine (N 5mg/1ml 30ml vial,VIAL,0.0
16,SVOR4,969550,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
17,SVOR4,969551,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
18,SVVS,969558,AMPC10,amphetamine-dexamph 10mg capsule,CAP,3.768
19,SVOR6,969565,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
20,SVOR6,969566,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
21,SVOR6,969569,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
22,SVSTOP1,969589,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
23,SVSTOP1,969590,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
24,SVOR7,969602,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
25,SVOR7,969603,SUC20I,succinylcholi 20mg/1ml 10ml vial,VIAL,0.0
26,SVOR7,969604,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
27,SVSPINE3,969606,DIA5T,diazepam (VALIUM) 5mg tablet,TAB,0.043
28,SVOR7,969619,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
29,SVOR11,969626,ROC10I5,rocuronium (ZE 10mg/1ml 5ml vial,VIAL,0.0
30,SVOR11,969627,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
31,SVOR11,969630,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
32,SVOR11,969631,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
33,SVOR16,969660,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
34,SVOR16,969663,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
35,SVOR16,969665,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
36,SVJOINT2  ,969668,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
37,SVOR14,969670,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
38,SVPREPOST,969674,SENT,senna-dss (PERI-COLAC 1ea tablet,EA,0.0
39,SVPREPOST,969677,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
40,SVPREPOST,969701,MET25T,metoprolol tartrate 25mg tablet,EA,0.0
41,SVOR9,969716,ROC10I5,rocuronium (ZE 10mg/1ml 5ml vial,VIAL,0.0
42,SVOR9,969717,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
43,SVEPLAB2,969725,ISO.2I5,isoproterenol 1mg/5ml 5ml ampule,AMP,0.0
44,SVEPLAB2,969732,PRO10I5,protamine 50mg/5ml 5ml vial,VIAL,0.0
45,SV5N2,969754,OXY5TI,oxyCODONE IR (ROXICOD 5mg tablet,TAB,0.0
46,SVOR14,969791,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
47,   SVEPLAB,969801,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
48,SVCP_KIT,969870,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
49,SVSPINE1,969968,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
50,SVNARCOTIC,969969,34544,HYDROcodone/acetamino 1ea tablet,TAB,0.0
51,SVNARCOTIC,969970,34544,HYDROcodone/acetamino 1ea tablet,TAB,0.0
52,SVPREPOST,969974,SCO1.5M,scopolamine (TRANSDE 1.5mg patch,PTCH,0.0
53,SVNARCOTIC,970015,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
54,SVOR4,970032,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
55,SVOR18,970046,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
56,SVOR18,970048,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
57,SVPHARMSAT,970204,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
58,SVANES,970218,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
59,SVOR4,970373,SUC20I,succinylcholi 20mg/1ml 10ml vial,VIAL,0.0
60,SV6N2,970428,OXY5TI,oxyCODONE IR (ROXICOD 5mg tablet,TAB,0.0
61,SVSPINE4,970492,34544,HYDROcodone/acetamino 1ea tablet,TAB,0.0
62,SVSPINE2,970525,HYDT10,HYDROcodone/acetamino 1ea tablet,TAB,0.0
63,SVSTOP1,970591,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
64,SV4P2,970611,HYDT10,HYDROcodone/acetamino 1ea tablet,TAB,0.0
65,SVCP_KIT,970648,PRO10I25,protamine 250mg/25ml 25ml vial,VIAL,0.0
66,SVOR17,970667,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
67,SVOR15,970771,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
68,SVOR15,970777,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
69,SVOR15,970779,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
70,SVOR15,970781,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
71,SVOR18,970796,GLY.2I,glycopyrrolat 0.2mg/1ml 1ml vial,VIAL,0.0
72,SV6N2,970811,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
73,SVOR18,970829,BUPI.25MD,bupivacaine w/ epi 0.2 50ml vial,VIAL,0.0
74,SVSTOP1,970832,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
75,SVSTOP1,970839,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
76,SV6W,970889,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
77,SVSPINE2,970962,34505,HYDROcodone/acetamino 1ea tablet,TAB,0.0
78,SVCP_KIT,970979,HEP1000I30,hepari 30000units/30ml 30ml vial,VIAL,0.0
79,SVOR15,971009,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
80,SVOR5,971012,LID1I5,lidocaine  1% 10mg/1ml 5ml vial,VIAL,0.0
81,SVOR5,971013,PRO200E,propofol (D 10mg/1ml 20ml ampule,AMP,0.0
82,SVOR6,971044,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
83,SV7E,971048,OXY5TI,oxyCODONE IR (ROXICOD 5mg tablet,TAB,0.0
84,SVSTOP1,971053,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
85,SVEPLAB2,971085,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
86,SVEPLAB2,971087,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
87,SVEPLAB2,971088,MID1I,midazolam (VERS 2mg/2ml 2ml vial,VIAL,0.0
